Question,A,B,C,D,Answer,Q
It was Sunday on Jan 1 2006 What was the day of the week Jan 1 2010 ,Sunday,Saturday,Friday,Wednesday,C,Calander
What was the day of the week on 28,Thursday,Friday,Saturday,Sunday,D,Calander
What was the day of the week on 17,Monday,Tuesday,Wednesday,Thursday,C,Calander
What will be the day of the week 15,Sunday,Monday,Tuesday,Friday,A,Calander
Today is Monday After 61 days it will be ,Wednesday,Saturday,Tuesday,Thursday,B,Calander
What was day of the week on 21 September 1987 ,Saturday,Sunday,Monday,Tuesday,C,Calander
How many odd days are there from 13,1,2,3,4,A,Calander
What is the year next to 1990 which will have the same calendar as that of the year 1990 ,1992,2001,1995,1996,B,Calander
Find the number of odd days in 126 years ,1,2,3,4,B,Calander
If the day before yesterday was Thursday when will Sunday be ,Today,Tomorrow,Two days after today,Day after tomorrow,B,Calander
The year next to 2003 will have the same calendar as that of the year 2003 ,2024,2014,2009,2020,B,Calander
On 19,Sunday,Monday,Tuesday,Wednesday,C,Calander
Suppose today is Friday what day of the week will it be 65 days from now ,Saturday,Sunday,Friday,Thursday,B,Calander
How many seconds in 10 years ,31523500 sec,315360000 sec,315423000 sec,315354000 sec,B,Calander
The calendar of year 1939 is same as which year ,1943,1964,1950,1956,C,Calander
Second Saturday and every Sunday is a holiday How many working days will be there in a month of 30 days beginning on a Saturday ,21,22,23,24,D,Calander
December 9 2001 is Sunday What was the day on December 9 1971 ,Monday,Tuesday,Wednesday,Thursday,B,Calander
What day of the week was 1 January 1901,Monday,Tuesday,Wednesday,Thursday,B,Calander
Today is 5,Wednesday,Thursday,Friday,Saturday,D,Calander
January 1 2004 was a Thursday what day of the week lies on January 1 2005 ,Wednesday,Thursday,Friday,Saturday,D,Calander
Find the number of odd days in 123 days,1,3,2,4,D,Calander
Given that on 18,Tuesday,Wednesday,Thursday,Friday,C,Calander
Today is Friday after 126 days it will be ,Thursday,Friday,Saturday,Sunday,B,Calander
If 25,5,7,9,11,A,Calander
How many times does the 29,4487 times,4457 times,4497 times,4447 times,C,Calander
What was the day of the week on 16,Sunday,Monday,Saturday,Thursday,C,Calander
Prove that any date in March of a year is the same day of the week corresponding date in November that year ,Same day,Not same day,Next day,Previous day,A,Calander
If today is Saturday what will be the day 350 days from now ,Saturday,Friday,Sunday,Monday,A,Calander
The calendar for the year 1988 is same as which upcoming year ,2012,2014,2016,2010,C,Calander
Given that on 9,Saturday,Sunday,Friday,Monday,A,Calander
How many days are there from 3,55 days,65 days,75 days,85 days,C,Calander
What was the day on 15,Friday,Saturday,Sunday,Thursday,A,Calander
What was the day of the week on 16,Tuesday,Wednesday,Monday,Saturday,A,Calander
The maximum gap between two successive leap year is ,4,8,2,1,B,Calander
How many leap years does 100 years have ,25,24,4,26,B,Calander
What was the day of the week on 10,Thursday,Friday,Saturday,Sunday,D,Calander
What day of the week was 20,Monday,Tuesday,Wednesday,Thursday,B,Calander
How many days will there be from 26,110,111,112,113,B,Calander
Today is Thursday What will be the day of the week after 94 days ,Sunday,Monday,Tuesday,Wednesday,A,Calander
What was the day on 25,Friday,Saturday,Sunday,Monday,B,Calander
It was Thursday on 12,Wednesday,Thursday,Friday,Saturday,C,Calander
th,Monday,Tuesday,Wednesday,Thursday,A,Calander
What day of the week will 22 Apr 2222 be ,Monday,Tuesday,Wednesday,Thursday,A,Calander
If today is Monday what will be the day 350 days from now ,Sunday,Monday,Tuesday,Wednesday,A,Calander
What was the day of the week on 24,Wednesday,Thursday,Friday,Saturday,C,Calander
What was the day of the week on 26 January 1950 ,Monday,Sunday,Thursday,Wednesday,C,Calander
Today is Thursday What day of the week it was 30 days ,Sunday,Monday,Tuesday,Wednesday,C,Calander
01 Jan 2007 was Monday What day of the week lies on 01 Jan 2008 ,Monday,Tuesday,Wednesday,Thursday,B,Calander
1 12 91 is the first Sunday Which is the fourth Tuesday of December 91 ,20.12.91,22.12.91,24.12.91,25.12.91,C,Calander
Today is Thursday The day after 59 days will be ,Sunday,Monday,Tuesday,Wednesday,A,Calander
What is two weeks from today ,Same day,Previous day,Next day,None,A,Calander
How old are you if you are born in 1995 ,22,23,24,25,B,Calander
What was the day on 2,Tuesday,Wednesday,Monday,Thursday,B,Calander
What was the day on 16th June 1993 ,Saturday,Monday,Wednesday,Friday,C,Calander
Which century year is a leap year ,1900,1700,1600,1100,C,Calander
What is two weeks from today ,Same day,Previous day,Next day,None,A,Calander
How old are you if you are born in 1995 ,22,23,24,25,B,Calander
What was the day on 2,Tuesday,Wednesday,Monday,Thursday,B,Calander
What was the day on 16th June 1993 ,Saturday,Monday,Wednesday,Friday,C,Calander
Which century year is a leap year ,1900,1700,1600,1100,C,Calander
The calendar for the year 2007 will be the same for the year ,2014,2016,2017,2018,D,Calander
Which of the following is not a leap year ,700,800,1200,2000,A,Calander
On 8,Sunday,Thursday,Tuesday,Friday,D,Calander
January 1 2008 is Tuesday What day of the week lies on Jan 1 2009 ,Monday,Wednesday,Thursday,Sunday,C,Calander
January 1 2007 was Monday What day of the week lies on Jan 1 2008 ,Monday,Tuesday,Wednesday,Sunday,B,Calander
