Question,A,B,C,D,Answer,Q
Find out whether there is any grammatical error in below sentence ,We discussed about the problem so thoroughly ,on the eve of the examination,that I found it very easy to work it out.,No error.,A,Correction
Find out whether there is any grammatical error in below sentence ,An Indian ship,laden with merchandise,got drowned in the Pacific Ocean,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,I could not put up in a hotel,because the boarding and lodging charges,were exorbitant,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,The Indian radio,which was previously controlled by the British rulers,is free now from the narrow vested interests,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,If I had known ,this yesterday,I will have helped him,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,He managed to make sense of the book,even though it was the first time,he read anything on the subject,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,She reluctantly said that,if nobody else was doing it,she will do it,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,I fail to understand,why he replied in negative,when the proposal was in his favour,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,I have,an appointment,on the 9th September on five o'clock,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,They ,enjoyed thoroughly,at the party,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,My father goes,to the office,five day week,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,If she will be promoted,she will get,A higher salary,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,"If I were him,",I would have taught,those cheats a lesson,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,"Looking back, I find that among the many impressions of the people of India,","absorbed while I lived among them,",are their reverence for great men and women,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,"If you work hard,",you will get good grades,in examinations,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,A lot of travel delay is caused,due to the inefficiency and lack of good management,on behalf of the railways,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,One of the members,expressed doubt if,the Minister was an atheist,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,I have got ,my  M.Sc. degree ,in 1988,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Having received your letter,"this morning, we are writing ",to thank you for the same,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,If  you lend him a book  ,he will lend it to some one else,and never you will get it back,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,"Though senior in age,",his father is junior than,my father in service,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,While walking slowly in the park,on a quiet summer afternoon,a mad dog suddenly attacked him from behind,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Everyone visiting the house asked the young girl,how could she kill the wolf,single handed and without a weapon,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Many health-conscious people,prefer margarine,than butter,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,The retiring principal asked his old pupils,to take the interest in the school,after he has retired,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,It is time,we should accept all our people as equals,and as partners in the task of building a strong and united nation,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Twice twelve,makes,twenty-four,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,"Regretfully, profits earned by your company",fell by 20 per cent last year,despite higher sales,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,"In a report issued by Indian Statistical Institute,",the Iron and Steel Industry is investing more than any other,Indian industry in fighting pollution,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,He is going everyday,for a morning walk,with his friends and neighbours,No error.,A,Correction
Find out whether there is any grammatical error in below sentence ,If you listen with,the question carefully,you will be able to answer them easily,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,It is difficult,for anyone,to past time thus,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,The customer handed over,a hundred-rupees note,to the shopkeeper,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Myself and Gopal,will take care of,the function on sunday,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,It is the newspaper,that exposes us to the widest range,of human experiences and behaviour,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,Many times the news has been published,in the papers that the end of the world will be certain,if a nuclear war breaks out,No error,D,Correction
Find out whether there is any grammatical error in below sentence ,The reason Ram,is absent from his duty,is because he is unwell,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,Azharuddin is one of the finest batsmen,that India have produced,over the decades,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The thief broke in the,house at the,dead of night,No error,A,Correction
Find out whether there is any grammatical error in below sentence ,May I,know who you want,to see please,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,The scientist must follow,his hunches and his data,wherever it may lead,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,Each one of the boys,have paid,the tuition-fee,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,A large scale exchange of nuclear weapons,will produce unprecedented amounts of radiation,that can penetrate into the biological tissue,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,Had I,known it earlier,I would contact you,No error,C,Correction
Find out whether there is any grammatical error in below sentence ,He asked me,why did I call,him a rogue,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,He said that he,will mind if,I refused his offer,No error,B,Correction
Find out whether there is any grammatical error in below sentence ,Arun's parents died when he was young and,he looked after his aunt,who had no children,No error,B,Correction
