Question,A,B,C,D,Answer,Q
A man walks 1 km to East and then he turns to South and walks 5 km Again he turns to East and walks 2 km After this he turns to North and walks 9 km Now how far is he from his starting point ,3 km,4 km,5 km,7 km,C,Direction
I walk 30 metres in North West direction from my house and then 30 metres in South west direction After this I walk 30 metres in South East direction Now I turn to my house in what direction am I going ,North-East,North-West,South-East,South-West,A,Direction
A man faces towards north Turning to his right he walks 25 metes He then turns to his left and walks 30 metres Next he moves 25 metres to his right He then turns to his right again and walks 55 metres Finally he turns to the right and moves 40 metres In which direction is he from his starting point ,South-West,South,North-west,South-East,D,Direction
If South East becomes North and South becomes North East and all the rest directions are changed in the same manner the what will be the direction for West ,North-East,North-West,South-East,South-West,C,Direction
If Rahim moves 20 metres in East direction and then turns to his left and then moves 15 metres and then he turns to his right and moves 25 metres After this he turns to his right and moves 15 metres Now how far is he from starting point ,40 m,50 m,25 m,45 m,D,Direction
Mohan was facing east he walked 4 km forward and then after turning to his right walked 3 km Again he turned to his right and walked 4 km After this he turned back Which direction was he facing at that time ,East,West,North,South,A,Direction
A cyclist goes 30 km to North and then turning to East he goes 40 km Again he turns to his right and goes 20 km After this he turns to his right and goes 40 km How far is from his starting point ,40,50,25,10,D,Direction
A B C and D are standing on the four corners of a square field as shown in the figure below ,North-East,South-West,South-East,North-West,D,Direction
A direction pole was situated on the crossing Due to an accident the pole turned in such a manner that the pointer which was showing East started showing South One traveler went to wrong direction thinking to be West In what direction actually he was traveling ,East,South-West,North,South,C,Direction
A man leaves from his office for his home He walks towards East After moving a distance of 20 m he turns South and walks 10 m Then he walks 35 m towards the west and further 5 m towards the north He then turns towards east and walks 15 m What is the straight distance in metres between his initial and final position ,0,5,10,11,B,Direction
A man walks 5 km toward south and then turns to the right After walking 3 km he turns to the left and walks 5 km Now in which direction is he from the starting place ,West,South,North-East,South-West,D,Direction
Rahul put his timepiece on the table in such a way that at 6 P M hour hand points to North In which direction the minute hand will point at 9 15 P M ,South-East,South,North,West,D,Direction
Rasik walked 20 m towards north Then he turned right and walks 30 m Then he turns right and walks 35 m Then he turns left and walks 15 m Finally he turns left and walks 15 m In which direction and how many metres is he from the starting position ,15 m West,30 m East,30 m West,45 m East,D,Direction
Two cars start from the opposite places of a main road 150 km apart First car runs for 25 km and takes a right turn and then runs 15 km It then turns left and then runs for another 25 km and then takes the direction back to reach the main road In the mean time due to minor break down the other car has run only 35 km along the main road What would be the distance between two cars at this point ,65 km,75 km,80 km,85 km,A,Direction
Starting from the point X Jayant walked 15 m towards west He turned left and walked 20 m He then turned left and walked 15 m After this he turned to his right and walked 12 m How far and in which directions is now Jayant from X ,"32 m, South","47 m, East","42 m, North","27 m, South",A,Direction
Umesh directly went from P to Q which is 9 feet distant Then he turns to the right and walked 4 feet After this he turned to the right and walked a distance which is equal from P to Q Finally he turned to the right and walked 3 feet How far is he now from P ,6 feet,5 feet,1 feet,0 feet,C,Direction
Shyam walks 5 km towards East and then turns left and walks 6 km Again he turns right and walks 9 km Finally he turns to his right and walks 6 km How far is he from the starting point ,26 km,21 km,14 km,9 km,C,Direction
Amit started walking positioning his back towards the sun After some time he turned left then turned right and towards the left again In which direction is he going now ,North or South,East or West,North or West,South or West,A,Direction
Rohit walked 25 m towards south Then he turned to his left and walked 20 m He then turned to his left and walked 25 m He again turned to his right and walked 15 m At what distance is he from the starting point and in which direction ,35 m East,35 m North,30 m West,45 m East,A,Direction
Village Q is to the North of the village P The village R is in the East of Village Q The village S is to the left of the village P In which direction is the village S with respect to village R ,West,South-West,South,North-West,B,Direction
One morning after sunrise Nivedita and Niharika were talking to each other face to face at Dalphin crossing If Niharika s shadow was exactly to the right of Nivedita Which direction Niharika was facing ,North,South,East,Data is inadequate,A,Direction
If A x B means A is to the south of B A B means A is to the north of B A B means A is to the east of B A B means A is to the west of B then in P Q R S S is in which direction with respect to Q ,South-West,South-East,North-East,North-West,B,Direction
One morning after sunrise Suresh was standing facing a pole The shadow of the pole fell exactly to his right To which direction was he facing ,East,South,West,Data is inadequate,B,Direction
A child went 90 m in the East to look for his father then he turned right and went 20 m After this he turned right and after going 30 m he reached to his uncle s house His father was not there From there he went 100 m to his north and met his father How far did he meet his father from the starting point ,80 m,100 m,140 m,260 m,B,Direction
Four friends A B C and D live in a same locality The house of B is in the east of A s house but in the north of C s house The house of C is in the west of D s house D s house is in which direction of A s house ,South-East,North-East,East,Data is inadequate,A,Direction
Mohan was facing east he walked 4 km forward and then after turning to his right walked 3 km Again he turned to his right and walked 4 km After this he turned back Which direction was he facing at that time ,East,West,North,South,A,Direction
A cyclist goes 30 km to North and then turning to East he goes 40 km Again he turns to his right and goes 20 km After this he turns to his right and goes 40 km How far is from his starting point ,40,50,25,10,D,Direction
A B C and D are standing on the four corners of a square field as shown in the figure below ,North-East,South-West,South-East,North-West,D,Direction
A direction pole was situated on the crossing Due to an accident the pole turned in such a manner that the pointer which was showing East started showing South One traveler went to wrong direction thinking to be West In what direction actually he was traveling ,East,South-West,North,South,C,Direction
A man leaves from his office for his home He walks towards East After moving a distance of 20 m he turns South and walks 10 m Then he walks 35 m towards the west and further 5 m towards the north He then turns towards east and walks 15 m What is the straight distance in metres between his initial and final position ,0,5,10,11,B,Direction
