Question,A,B,C,D,Answer
Find the greatest number that will divide 43 91 and 183 so as to leave the same remainder in each case ,4,7,9,13,A
The H C F of two numbers is 23 and the other two factors of their L C M are 13 and 14 The larger of the two numbers is ,276,299,322,345,C
Six bells commence tolling together and toll at intervals of 2 4 6 8 10 and 12 seconds respectively In 30 minutes how many times do they toll together ,4,10,15,16,D
Let N be the greatest number that will divide 1305 4665 and 6905 leaving the same remainder in each case Then sum of the digits in N is ,4,5,6,8,A
The greatest number of four digits which is divisible by 15 25 40 and 75 is ,9000,9400,9600,9800,C
A number which when divided by 10 leaves a remainder of 9 when divided by 9 leaves a remainder of 8 and when divided by 8 leaves a remainder of 7 is ,1539,539,359,1359,C
The HCF and LCM of two numbers are 12 and 336 respectively If one of the numbers is 84 the other is ,36,48,72,96,B
If the product of two numbers is 324 and their HCF is 3 then their LCM will be ,972,327,321,108,D
What is the least number which when divided by the number 3 5 6 8 10 and 12 leaves in each case a remainder 2 but when divided by 22 leaves no remainder ,312,242,1562,1586,B
The LCM of two numbers is 20 times their HCF The sum of HCF ans LCM is 2520 If one of the number 480 the other number is ,400,480,520,600,D
The product of two numbers is 4107 If the H C F of these numbers is 37 then the greater number is ,101,107,111,185,C
Three number are in the ratio of 3 4 5 and their L C M is 2400 Their H C F is ,40,80,120,200,A
The G C D of 1 08 0 36 and 0 9 is ,0.03,0.9,0.18,0.108,C
The product of two numbers is 2028 and their H C F is 13 The number of such pairs is ,1,2,3,4,B
The least multiple of 7 which leaves a remainder of 4 when divided by 6 9 15 and 18 is ,74,94,184,364,D
The least number which when divided by 4 6 8 and 9 leave zero remainder in each case and when divided by 13 leaves a remainder of 7 is ,144,72,36,85,B
The ratio of two numbers is 13 15 and their LCM is 39780 The numbers are ,"884, 1020","884, 1040","670, 1340","2652, 3060",D
The LCM and ratio of four numbers are 630 and 2 3 5 7 respectively The difference between the greatest and least numbers is ,6,14,15,21,C
The number nearest to 10000 which is exactly divisible by each of 3 4 5 6 7 and 8 is ,9240,10080,9996,10000,B
The HCF and LCM of two 2 did it number are 16 and 480 respectively The numbers are ,"40, 48","60, 72","62, 80","64, 80",D
A number when divided by 361 gives remainder 47 When the same number is divided by 19 then find the remainder ,9,1,8,3,A
The least number which when divided by 5 6 7 and 8 leaves a remainder 3 but when divided by 9 leaves no remainder is ,1677,1683,2523,3363,B
A gardener has to plant trees in rows containing equal number of trees If he plants in rows of 6 8 10 or 12 then five trees are left unplanted But if he plants in rows of 13 trees each then no tree is left What is the number of trees that the gardener plants ,485,725,845,None of these,C
When Seeta made necklaces of either 16 beads 20 beads or 36 beads not a single bead was left over What could be the least number of beads Seeta had ,700,720,750,780,B
The HCF and LCM of two numbers are 21 and 84 respectively If the ratio of the two numbers is 1 4 then larger of the two numbers is ,48,12,84,108,C
The HCF and LCM of two numbers are 8 and 48 respectively If one of the number is 24 then the other number is ,48,36,24,16,D
The least number which when divided by 4 6 8 12 and 16 leaves remainder of 2 in each case is ,46,48,50,56,C
The LCM of two numbers is 495 and their HCF is 5 If the sum of the numbers is 100 then their difference is ,10,46,70,90,A
,,,,,
Which of the following has most number of divisors ,99,101,176,182,C
The greatest number which on dividing 1657 and 2037 leaves remainders 6 and 5 respectively is ,123,127,235,305,B
Which of the following has the most number of divisors ,99,101,176,182,C
The L C M of two numbers is 48 The numbers are in the ratio 2 3 Then sum of the number is ,28,32,40,64,C
,,,,,C
If the sum of two numbers is 55 and the H C F and L C M of these numbers are 5 and 120 respectively then the sum of the reciprocals of the numbers is equal to ,,,,,C
The H C F of two numbers is 11 and their L C M is 7700 If one of the numbers is 275 then the other is ,279,283,308,318,C
What will be the least number which when doubled will be exactly divisible by 12 18 21 and 30 ,196,630,1260,2520,B
The ratio of two numbers is 3 4 and their H C F is 4 Their L C M is ,12,16,24,48,D
The smallest number which when diminished by 7 is divisible 12 16 18 21 and 28 is ,1008,1015,1022,1032,B
,,,,,
Find the lowest common multiple of 24 36 and 40 ,120,240,360,480,C
The least number which should be added to 2497 so that the sum is exactly divisible by 5 6 4 and 3 is ,3,13,23,33,C
,,,,,C
The least number which when divided by 5 6 7 and 8 leaves a remainder 3 but when divided by 9 leaves no remainder is ,1677,1683,2523,3363,B
A B and C start at the same time in the same direction to run around a circular stadium A completes a round in 252 seconds B in 308 seconds and c in 198 seconds all starting at the same point After what time will they again at the starting point ,26 minutes and 18 seconds,42 minutes and 36 seconds,45 minutes,46 minutes and 12 seconds,D
Find the greatest number of five digits which when divided by 3 5 8 12 leaves 2 as remainder ,99999,99948,99962,99722,C
The H C F of 2,105,1155,2310,27720,A
The H C F of 4 27 3125 8 9 25 7 and 16 81 5 11 49 is ,180,360,540,1260,A
Even numbers are formed by talking at least two at a time from the numbers 0 4 8 9 Their H C F is ,2,4,10,None fo these,A
Find the largest number of four digits such that on dividing by 15 18 21 and 24 the remainders are 11 14 17 and 20 respectively ,6557,7556,5675,7664,B
The greatest number which when divides 989 and 1327 leave remainder 5 and 7 respectively ,8,16,24,32,C
A milkman has 75 litres milk in one cane and 45 litres in another The maximum capacity of container which can measure milk of either container exact number ,1 litre,5 litres,15 litres,25 litres,C
Which of the following is a pair of co primes ,"(16, 12)","(18, 25)","(21, 35)","(23, 92)",B
The L C M of 22 54 108 135 and 198 is ,330,1980,5940,11880,C
Two numbers are in the ratio 3 4 if their H C F is 4 then their L C M ,48,42,36,24,A
Three numbers which are co prime to one another are such that product of the first two is 551 and that of the last two is 1073 The sum of the three numbers is ,75,81,85,89,C
The sum of two numbers is 528 and their HCF is 33 The number of pairs of numbers satisfying the above conditions is ,4,6,8,12,A
The product of two numbers is 2008 and their HCF is 13 The number of such pairs is ,1,2,3,4,B
HCF and LCM of two numbers are 7 and 140 respectively If the numbers are between 20 and 45 the sum of the numbers is ,70,77,63,56,C
The HCF of two numbers is 23 and the other factors of their LCM are 13 and 14 The larger of the two numbers is ,276,299,345,322,D
The greatest possible length which can be used to measure exactly the lengths 7 m 3 m 85 cm 12 m 95 cm is ,15 cm,25 cm,35 cm,42 cm,C
Three numbers which are co prime to each other are such that the product of the first two is 551 and that of the last two is 1073 The sum of the three numbers is ,75,81,85,89,C
Find the highest common factor of 36 and 84 ,4,6,12,18,C
,,,,,A
