Question,A,B,C,D,Answer,Q
Find the odd number letters from the given alternatives ,Swimming,Sailing,Diving,Driving,D,Odd
Find the odd number letters word from the given alternative ,Discernment,Perception,Penetration,Insinuation,D,Odd
Find the odd number letters word from the given alternative ,5720,6710,2640,4270,D,Odd
Find the odd number letters from the given alternatives ,626,841,962,1090,B,Odd
Find the odd number letters from the given alternatives ,PQXZ,CQBN,ABDF,PRMN,C,Odd
Find the odd number letters word from the given alternative ,34 - 43,55 -  62,62 - 71,83 - 92,B,Odd
Find the odd number letters word from the given alternative ,62 - 37,74 - 40,85 - 60,103 - 78,B,Odd
Find the odd number letters word from the given alternative ,80 - 9,64 - 8,36 - 6 ,Jul-49,A,Odd
Find the odd number letters word from the given alternative ,"1, 4, 3, 8","2, 4, 3, 9","3, 2, 3, 8","5, 3, 2, 9",D,Odd
Find the odd number letters word from the given alternative ,"3, 5","6, 2","1, 7","7, 3",D,Odd
Find the odd number letters word from the given alternative ,Deck,Quay,Stem,Bow,D,Odd
Find the odd number letters word from the given alternative ,STR,ONP,IHJ,LKM,A,Odd
Find the odd number letters word from the given alternative ,Bay,Cape,Peninsula,Island,B,Odd
Find the odd number letters word from the given alternative ,Liberty,Society,Equality,Fraternity,B,Odd
Find the odd number letters word from the given alternative ,Saltoro Kangri,Kongka,Zoji La,Kumbharli Ghat,A,Odd
Find the odd number letters from the given alternatives ,ABYZ,CDWX,EFUV,GHTV,D,Odd
Find out the pair of numbers that does not belong to the group for lack of common property ,16-18,56-63,96-108,86-99,D,Odd
Four words are given out of which three are same in a certain way while the rest one is different Find out the different one ,Teacher,Principal,student,Lecturer,C,Odd
Four words are given out of which three are same in a certain way while the rest one is different Find out the different one ,Bird,Kite,Crow,Sparrow,A,Odd
Four words are given out of which three are same in a certain way while the rest one is different Find out the different one ,Bowl,Spoon,Cup,Bouquet,D,Odd
Find the odd number letters word from the given alternative ,Cricket,Hockey,Billiards,Fencing,C,Odd
Find the odd number letters word from the given alternative ,Gloves,Turban,Hat,Cap,A,Odd
Find the odd number letters word from the given alternative ,Herb,Flower,Tree,Shrub,B,Odd
Find the odd number letters word from the given alternative ,Green,Pink,Indigo,Violet,B,Odd
Find the odd number letters word from the given alternative ,Troop,Group,Mob,Class,C,Odd
Four pairs of words are given out of which the words in three pairs are related in some way and words in one pair are different Find out that pair which is differently related ,Pen and Nib,Water and Bucket,Ink and Inkpot,Oil and Lamp,A,Odd
Four pairs of words are given out of which the words in three pairs are related in some way and words in one pair are different Find out that pair which is differently related ,Fish and Aquarium,Bird and Nest,Student and Teacher,Criminals and Prison,C,Odd
