Question,A,B,C,D,Answer
1 14 expressed as a per cent of 1 9 is ,6%,10%,60%,90%,C
In an examination 80 candidates passed in English and 85 candidates passed in Mathematics If 73 candidates passed in both these subjects then what per cent of candidates failed in both the subjects ,8,15,27,35,A
Half percent written as a decimal is,0.2,0.02,0.005,0.05,C
,,,,,B
The population of a town increases every year by 4 If its present population is 50 000 then after 2 years it will be ,"53,900","54,000","54,080","54,900",C
The population of a town increased from 1 75 000 to 2 62 500 in a decade The average percent increase of population per year is ,4.37%,5%,6%,8.75%,B
A s salary is 50 more than that of B Then B s salary is less than that of A by ,$$50$$%,,,,B
If 60 of A 30 of B B 40 of C and C x of A then value of x is ,800%,200%,300%,500%,D
In an examination 70 of the candidate passed in English 80 passed in Mathematics 10 failed in both subjects If 144 candidates passed in both the total number of candidates was ,125,200,240,375,C
Raman s salary is increased by 5 this year If his present salary is Rs 1806 the last year s salary was ,Rs. 1720,Rs. 1620,Rs. 1520,Rs. 1801,A
A and B are two fixed points 5 cm apart and C is a point on AB such that AC is 3cm if the length of AC is increased by 6 the length of CB is decreased by ,6%,7%,8%,9%,D
The cost of an article was Rs 75 The cost was first increased by 20 and later on it was reduced by 20 The present cost of the article is ,Rs. 72,Rs. 60,Rs. 75,Rs. 76,A
The price of the sugar rise by 25 If a family wants to keep their expenses on sugar the same as earlier the family will have to decrease its consumption of sugar by ,25%,20%,80%,75%,B
Each side of a rectangular field diminished by 40 By how much per cent is the area of the field diminished ,32%,64%,25%,16%,B
If the price of a commodity is decreased by 20 and its consumption is increased by 20 what will be the increase or decrease in expenditure on the commodity ,4%  increase,4% decrease,8%  increase, 8% decrease,B
If 80 of A 50 of B and B x of A then the value of x is ,400,300,160,150,C
,4763,4764,4762,4761,B
If 120 is 20 of a number then 120 of that number will be ,20,120,480,720,D
498 is 17 less than a number then the number is ,610,580,600,620,C
If radius of a circle is increased by 5 then the increase in it s area is ,10.25%,5.75%,10%,5%,A
In an office 40 of the staff is female 70 of the female staff and 50 of the male staff are married The percentage of the unmarried staff in the office is ,65%,42%,60%,64%,B
2 is what percent of 50 ,2%,2.50%,4%,5%,C
15 of 45 of a number is 105 3 What is 24 of that number ,385.5,374.4,390,375,B
The ratio 5 4 expressed as a percent equals ,125%,80%,405,12.50%,A
,9:20,20:09,4:05,5:04,D
,1200,1600,1500,1400,B
A man spends a part of his monthly income and saves the rest The ratio of his expenditure to the saving is 61 6 If his monthly income is Rs 8710 the amount of his monthly savings is ,Rs. 870,Rs. 690,Rs. 980,Rs. 780,D
A number is increased by 15 and then decreased by 25 and the number becomes 22 less than the original number The original number is ,140,160,120,100,B
What is the difference between 0 6 and 0 6 ,5.94,0.594,60,54,B
A number is decreased by 10 and the resulting number is again decreased by 20 What is the final percentage of decrease ,25%,26%,27%,28%,D
In an election a total of 500000 voters participated A candidate got 255000 votes which was 60 of total valid votes What was the percentage of invalid votes ,10%,12%,15%,,C
If x 80 of y then what percent of 2x is y ,40%,,,80%,B
5 kg of tea and 8 kg of sugar together cost Rs 172 The price of tea has risen by 20 and that of sugar by 10 Hence the same quantities of tea and sugar now cost Rs 199 20 What is the original price of tea per kg ,Rs. 16,Rs. 18,Rs. 19,Rs. 20,D
The change for a five day trip by a tourist bus for one full ticket and a half ticket are Rs 1440 inclusive of boarding charges which are same for a full ticket and a half ticket The charges for the same trip for 2 full tickets and one half ticket inclusive of boarding charges are Rs 2220 The fare for a half ticket is 75 of the full ticket Find the fare and the boarding charges separately for one full ticket ,"Rs. 580, Rs. 400","Rs. 280, Rs. 200","Rs. 480, Rs. 300","Rs. 380, Rs. 400",C
Income tax is raised from 4 paise to 5 paise in a rupee but the revenue is increased by 10 only Find the decrease percent in the amount taxed ,12,14,16,None of these,A
,10%,,,,A
The number that is to be added to 10 of 320 to have the sum as 30 of 230 is ,37,32,23,73,A
25 of 120 40 of 380 of 637,,,,,A
A number on subtracting 15 from it reduces to its 80 What is 40 of the number ,75,60,30,90,C
If 35 of A s income is equal to 235 of B s income then the ratio of A s income to B s income is ,7:05,5:07,4:07,4:03,B
A sample of 50 litres of glycerine is found to be adulterated to the extent of 20 How much pure glycerine should be added to it so as to bring down the percentage of impurity to 5 ,155 litres,150 litres,150.4 litres,140 litres,B
A and B are two fixed points 5 cm apart and C is a point an AB such that AC is 3 cm If the length of CB is decreased by ,6%,7%,8%,9%,D
What percentage of the whole week does Ajay spend in office if his office hours are 9 am to 5 pm from Monday to Friday ,33.33%,23.81%,25.86%,42.23%,B
What percentage of the whole week does Ajay spend in office if his office hours are 9 am to 5 pm from Monday to Friday ,33.33%,23.81%,25.86%,42.23%,B
A s salary was decreased by 50 and subsequently increased by 50 How much percent does he lose ,25%,30%,20%,No loss,A
In an examination a candidate must secure 40 marks to pass A candidate who gets 220 marks fails by 20 marks Find the maximum marks for the examination ,1200,300,600,450,C
31 of employees pay tax in the year 2008 Non tax paying employees are 20700 The total number of employees is ,31160,64750,30000,66775,C
If 30 of A is added to 40 of B the answer is 80 of B What percentage of A is B ,30%,40%,70%,75%,D
