Question,A,B,C,D,Answer
Find the remainder when 73 75 78 57 197 37 is divided by 34 ,32,30,15,28,A
Find the remainder when 67,4,6,1,2,C
Let N 1421 1423 1425 What is the remainder when N is divided by 12 ,0,9,3,6,C
Three numbers are in ratio 1 2 3 and HCF is 12 The numbers are ,"12, 24, 36","11, 22, 33","12, 24, 32","5, 10, 15",A
What is the least number of soldiers that can be drawn up in troops of 12 15 18 and 20 soldiers and also in form of a solid square ,900,400,1600, 2500,A
When a plot is sold for Rs 18700 the owner loses 15 At what price must the plot be sold in order to gain 15 ,"Rs. 21,000","Rs. 22,500","Rs. 25,300","Rs. 25,800",C
A bookseller sells a book at a profit of 10 If he had bought it at 4 less and sold it for Rs 6 more He would have gained 18 frac 3 4 The cost price of the book is ,Rs. 130,Rs. 140,Rs. 150,Rs. 160,C
A businessman sells a commodity at 10 profit If he had bought it at 10 less and sold it for Rs 2 less then he would have gained 16 frac 2 3 The cost price of the commodity is ,Rs. 32,Rs. 36,Rs. 40,Rs. 48,C
A fruit seller sells mangoes at the rate of Rs 9 per kg and thereby loses 20 At what price per kg he should have sold them to make a profit of 5 ,Rs. 11.81,Rs. 12,Rs. 12.25,Rs. 12.31,A
Raju purchased an item for Rs 8200 and sold it at a gain of 25 From that amount he purchased another item and sold it at a loss of 20 What is his overall gain loss ,Loss of Rs. 120,Gain of Rs. 120,Loss of Rs. 140,Neither loss nor gain,D
A shopkeeper has 11 books of same cost price He sells the first book at certain price then he sells second book at a price which is Rs 1 less than the selling price of first book and then he sells third book at a price which is Rs 1 less than the selling price of second book Following this pattern he sold all 11 books If he sells sixth book all percent profit or loss on selling all 11 books ,20%,10%,$$\frac{1}{{11}}$$%,No profit no loss,D
James and Vaibhav are gamblers Last year the ratio between money lost by James and Vaibhav was 4 5 The ratios of their individual losses of the last year and present year are 3 5 and 2 3 respectively If total loss incurred to both of them this year is Rs 357000 the present loss of James is ,Rs. 170000,Rs. 159000,Rs. 168000,Rs. 137000,C
There would be a loss of 10 if an article is sold for 43 20 At what price should it be sold to gain 10 ,Rs. 48.80,Rs. 52.80,Rs. 56.20,Rs. 56.80,B
A shopkeeper fixes the marked price of an item 35 above its cost price The percentage of discount allowed to gain 8 is ,20%,27%,31%,43%,A
A trader marked his goods at 20 above the cost price He sold half the stock at the marked price one quarter at a discount of 20 on the marked price and the rest at a discount of 40 on the marked price His total gain is ,2%,4.5%,13.5%,15%,A
Find the least number which will leaves remainder 5 when divided by 8 12 16 and 20 ,240,245,265,235,B
7,13,127,559,All of these,D
After the division of a number successively by 3 4 and 7 the remainder obtained is 2 1 and 4 respectively What will be remainder if 84 divide the same number ,80,75,42,53,D
Find the remainder when 2,1,16,14,None of these,A
Find the remainder when 4,0,2,3,4,D
Raghavan purchase a scooter at frac 13 15 of its selling price and sold it at 12 more than its selling price His gain is ,20%,$$29\frac{3}{{13}}$$%,30%,$$38\frac{1}{{13}}$$%,B
A sells a bicycle to B at a profit of 20 B sells it to C at a profit of 25 If C pays Rs 225 for it the cost price of the bicycle for A is ,Rs. 110,Rs. 125,Rs. 120,Rs. 150,D
A house worth Rs 150000 is sold by X at a 5 profit to Y Y sells the house back to X at a 2 loss Then find profit and loss in the entire transaction ,X gains Rs. 4350,X loses Rs. 4350,X gains Rs. 3150,X loses Rs. 3150,C
A manufacturer sells an article to a wholesale dealer at a profit of 10 The wholesale dealer sells it to a shopkeeper at 20 profit The shop keeper sells it to a customer for Rs 56100 at a loss of 15 Then the cost price of the article to the manufacturer is ,Rs. 25000,Rs. 10000,Rs. 50000,Rs. 55000,C
An increase of Rs 3 in the selling price of an article turns a loss of 7 frac 1 2 The cost price in Rs of the article is ,10,15,20,25,C
If the selling price of an article is doubled then its loss profit percent is converted into equal profit percent The loss percent on the article is ,$$26\frac{2}{3}$$ %,33 %,$$33\frac{1}{3}$$ %,34 %,C
If an article sold at 200 profit then the ratio of its cost price to his selling price will be ,1 : 2,2 : 1,1 : 3,3 : 1,C
A fruit seller makes a profit of 20 by selling mangoes at a certain price If he charges Rs 1 more for each mango he can make a profit of 40 Find the selling price of a mango in the first case ,Rs. 6,Rs. 5,Rs. 5.50,Rs. 7,A
If selling price of an article is ,$$16\frac{2}{3}$$ %,$$20\frac{1}{2}$$ %,$$25\frac{1}{2}$$ %,$$33\frac{1}{3}$$ %,D
If an article is sold for Rs x there is a loss of 15 If the same article is sold for Rs y there is a profit of 15 The ratio of left y x to y x is ,3 : 20,20 : 3,17 : 23,20 : 23,A
The HCF of two numbers each having three digits is 17 and their LCM is 714 The sum of the numbers will be ,289,391,221,731,C
The greatest number which when subtracted from 5834 gives a number exactly divisible by each of 20 28 32 35 is ,1120,4714,5200,5600,B
Which among 2 frac 1 2 3 frac 1 3 4 frac 1 4 6 frac 1 6 and 12 frac 1 12 is largest ,$${2^{\frac{1}{2}}}$$,$${3^{\frac{1}{3}}}$$,$${4^{\frac{1}{4}}}$$,$${12^{\frac{1}{{12}}}}$$,B
LCM of two numbers is 936 If their HCF is 4 and one of the numbers is 72 the other is ,42,52,62,None of these,B
The rightmost non zero digit of the number 30,1,3,7,9,A
A shopkeeper sells rice at 10 profit and uses weight 30 less the actual measure His gain percent is ,$$57\frac{2}{3}\% $$,$$57\frac{1}{7}\% $$,$$57\frac{2}{5}\% $$,$$57\frac{3}{7}\% $$,B
A dinner set is quoted for Rs 1500 A customer pays Rs 1173 for it If the customer get a series of two discounts and the rate of first discount is 15 then the rate of second discount was ,15%,7%,9%,8%,D
A dishonest dealer defrauds to the extent of x in buying as well as selling is goods by using faulty weight What will be the gain percent on his outlay ,$$2x\% $$,$$\left( {\frac{{10}}{x} + {x^2}} \right)\% $$,$$\left( {2x + \frac{{{x^2}}}{{100}}} \right)\% $$,$$\left( {x + \frac{{{x^2}}}{{100}}} \right)\% $$,C
When an article was sold for Rs 696 percent profit earned was P When the same article was sold for Rs 841 percent profit earned was p 25 What is the value of P ,10%,25%,15%,20%,D
Raza purchased a bicycle for Rs 6810 He had paid a VAT of 13 5 The list price of the bicycle was ,Rs. 6696.50,Rs. 6140,Rs. 5970.50,Rs. 6000,D
A book seller allowed 10 discount on printed price He gets 30 commission from publisher His profit in percent will be ,20%,$$28\frac{4}{7}$$%,25%,$$28\frac{3}{7}$$%,B
A shopkeeper increases the price of an object by 40 and then sells it at 25 discount on the marked price If the selling price of such an object be Rs 2100 its cost price for the shopkeeper was ,Rs. 3000,Rs. 1500,Rs. 1750,Rs. 2000,D
By what fraction selling price must be multiplied to get the cost price if the loss is 20 ,$$\frac{4}{5}$$,$$\frac{8}{5}$$,$$\frac{5}{4}$$,$$\frac{6}{5}$$,C
The sale price of an article including the sales tax is Rs 1232 The rate of sales tax is 10 If the shopkeeper has made a profit of 12 then the cost price of the article is ,Rs. 900,Rs. 950,Rs. 1000,Rs. 1120,C
Meena Kumari goes to a shop and buys a saree costing Rs 5225 including sales tax of 12 The shopkeeper gives her a discount so that the price is decreased by an amount equivalent to sales tax The price is decreased by nearest value ,Rs. 615,Rs. 650,Rs. 560,Rs. 580,C
A cloth merchant sold half of his cloth at 20 profit half of the remaining cloth at 20 loss and the rest was sold at its cost price In the total transaction his gain or loss will be ,5% profit,Neither loss nor gain,5% loss,10% profit,A
The difference between the selling price of an article at a profit of 15 and at a profit of 10 is Rs 10 The cost price of the article is ,Rs. 100,Rs. 120,Rs. 150,Rs. 200,D
An article was sold for Rs y after giving a discount of x Then its list price is ,$$\frac{{100y}}{{100 - x}}$$,$$\frac{{100y}}{{1 - x}}$$,$$\frac{{100y}}{{1 - \left( {x/100} \right)}}$$,None of these,A
Jatin bought a refrigerator with 20 discount on the labelled price Had he bought it with 25 discount he would have saved Rs 500 At what price did he buy the refrigerator ,Rs. 5000,"Rs. 10,000","Rs. 12,500","Rs. 15,000",B
The difference between the selling price and cost price of an article is Rs 210 If the profit percent is 25 then the selling price of the article is ,Rs. 950,Rs. 1050,Rs. 1150,Rs. 1250,B
A shopkeeper bought 15 kg of rice at the rate of Rs 29 per kg and 25 kg of rice at the rate of Rs 20 per kg He sold the mixture of both types of rice at the rate of Rs 27 per kg His profit in this transaction is ,Rs. 125,Rs. 150,Rs. 140,Rs. 145,D
On selling 17 balls at Rs 720 there is a loss equal to the cost price of 5 balls The cost price of a ball is ,Rs. 45,Rs. 50,Rs. 60,Rs. 55,C
A small and medium enterprise imports two components A and B from Taiwan and China respectively and assembles them with other components to form a toy Components A contributes to 10 of production cost while components B contributes to 20 of production cost Usually the company sells this toy at 20 above the production cost Due to increase in the raw material and labour cost in both the countries component A became 20 costlier and components B became 40 costlier Owing to these reasons the company increased its selling price by 15 Considering that cost of other components does not change What will be the profit percentage if the toy is sold at the new price ,15.5%,25.5%,35.5%,40%,B
A firm of readymade garments makes both men s and women s shirts Its average profit is 6 of the sales Its profit in men s shirt average 8 of the sales and women s shirts comprise 60 of the output The average profit per sales rupee in women s shirts is,0.0166,0.0466,0.0666,None of these ,B
